"module name","license","repository"
"@oopsunome/get-urls@1.0.2","MIT","https://github.com/iTonyYo/get-urls"
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"boxen@1.3.0","MIT","https://github.com/sindresorhus/boxen"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"capture-stack-trace@1.0.1","MIT","https://github.com/floatdrop/capture-stack-trace"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"ci-info@1.6.0","MIT","https://github.com/watson/ci-info"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"configstore@3.1.2","BSD-2-Clause","https://github.com/yeoman/configstore"
"create-error-class@3.0.2","MIT","https://github.com/floatdrop/create-error-class"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"decamelize-keys@1.1.0","MIT","https://github.com/dsblv/decamelize-keys"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"dot-prop@4.2.0","MIT","https://github.com/sindresorhus/dot-prop"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"global-dirs@0.1.1","MIT","https://github.com/sindresorhus/global-dirs"
"got@6.7.1","MIT","https://github.com/sindresorhus/got"
"graceful-fs@4.1.15","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hosted-git-info@2.7.1","ISC","https://github.com/npm/hosted-git-info"
"import-lazy@2.1.0","MIT","https://github.com/sindresorhus/import-lazy"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js"
"indent-string@3.2.0","MIT","https://github.com/sindresorhus/indent-string"
"ini@1.3.5","ISC","https://github.com/isaacs/ini"
"ip-regex@4.1.0","MIT","https://github.com/sindresorhus/ip-regex"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-ci@1.2.1","MIT","https://github.com/watson/is-ci"
"is-fullwidth-code-point@2.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-installed-globally@0.1.0","MIT","https://github.com/sindresorhus/is-installed-globally"
"is-npm@1.0.0","MIT","https://github.com/sindresorhus/is-npm"
"is-obj@1.0.1","MIT","https://github.com/sindresorhus/is-obj"
"is-path-inside@1.0.1","MIT","https://github.com/sindresorhus/is-path-inside"
"is-plain-obj@1.1.0","MIT","https://github.com/sindresorhus/is-plain-obj"
"is-redirect@1.0.0","MIT","https://github.com/sindresorhus/is-redirect"
"is-retry-allowed@1.1.0","MIT","https://github.com/floatdrop/is-retry-allowed"
"is-stream@1.1.0","MIT","https://github.com/sindresorhus/is-stream"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"json-parse-better-errors@1.0.2","MIT","https://github.com/zkat/json-parse-better-errors"
"latest-version@3.1.0","MIT","https://github.com/sindresorhus/latest-version"
"load-json-file@4.0.0","MIT","https://github.com/sindresorhus/load-json-file"
"locate-path@2.0.0","MIT","https://github.com/sindresorhus/locate-path"
"lodash@4.17.11","MIT","https://github.com/lodash/lodash"
"loud-rejection@1.6.0","MIT","https://github.com/sindresorhus/loud-rejection"
"lowercase-keys@1.0.1","MIT","https://github.com/sindresorhus/lowercase-keys"
"lru-cache@4.1.5","ISC","https://github.com/isaacs/node-lru-cache"
"make-dir@1.3.0","MIT","https://github.com/sindresorhus/make-dir"
"map-obj@1.0.1","MIT","https://github.com/sindresorhus/map-obj"
"map-obj@2.0.0","MIT","https://github.com/sindresorhus/map-obj"
"meow@5.0.0","MIT","https://github.com/sindresorhus/meow"
"minimist-options@3.0.2","MIT","https://github.com/vadimdemedes/minimist-options"
"minimist@1.2.0","MIT","https://github.com/substack/minimist"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"normalize-url@4.3.0","MIT","https://github.com/sindresorhus/normalize-url"
"npm-run-path@2.0.2","MIT","https://github.com/sindresorhus/npm-run-path"
"p-finally@1.0.0","MIT","https://github.com/sindresorhus/p-finally"
"p-limit@1.3.0","MIT","https://github.com/sindresorhus/p-limit"
"p-locate@2.0.0","MIT","https://github.com/sindresorhus/p-locate"
"p-map@2.1.0","MIT","https://github.com/sindresorhus/p-map"
"p-reduce@2.1.0","MIT","https://github.com/sindresorhus/p-reduce"
"p-try@1.0.0","MIT","https://github.com/sindresorhus/p-try"
"p-waterfall@2.1.0","MIT","https://github.com/sindresorhus/p-waterfall"
"package-json@4.0.1","MIT","https://github.com/sindresorhus/package-json"
"parse-json@4.0.0","MIT","https://github.com/sindresorhus/parse-json"
"path-exists@3.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-inside@1.0.2","(WTFPL OR MIT)","https://github.com/domenic/path-is-inside"
"path-key@2.0.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.6","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@3.0.0","MIT","https://github.com/sindresorhus/path-type"
"pify@3.0.0","MIT","https://github.com/sindresorhus/pify"
"prepend-http@1.0.4","MIT","https://github.com/sindresorhus/prepend-http"
"pseudomap@1.0.2","ISC","https://github.com/isaacs/pseudomap"
"querystringify@2.1.1","MIT","https://github.com/unshiftio/querystringify"
"quick-lru@1.1.0","MIT","https://github.com/sindresorhus/quick-lru"
"rc@1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","https://github.com/dominictarr/rc"
"read-pkg-up@3.0.0","MIT","https://github.com/sindresorhus/read-pkg-up"
"read-pkg@3.0.0","MIT","https://github.com/sindresorhus/read-pkg"
"redent@2.0.0","MIT","https://github.com/sindresorhus/redent"
"registry-auth-token@3.4.0","MIT","https://github.com/rexxars/registry-auth-token"
"registry-url@3.1.0","MIT","https://github.com/sindresorhus/registry-url"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"resolve@1.10.0","MIT","https://github.com/browserify/resolve"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"semver-diff@2.1.0","MIT","https://github.com/sindresorhus/semver-diff"
"semver@5.7.0","ISC","https://github.com/npm/node-semver"
"shebang-command@1.2.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@1.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"signal-exit@3.0.2","ISC","https://github.com/tapjs/signal-exit"
"spdx-correct@3.1.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.2.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.0","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.4","CC0-1.0","https://github.com/shinnn/spdx-license-ids"
"string-width@2.1.1","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@4.0.0","MIT","https://github.com/chalk/strip-ansi"
"strip-bom@3.0.0","MIT","https://github.com/sindresorhus/strip-bom"
"strip-eof@1.0.0","MIT","https://github.com/sindresorhus/strip-eof"
"strip-indent@2.0.0","MIT","https://github.com/sindresorhus/strip-indent"
"strip-json-comments@2.0.1","MIT","https://github.com/sindresorhus/strip-json-comments"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"term-size@1.2.0","MIT","https://github.com/sindresorhus/term-size"
"timed-out@4.0.1","MIT","https://github.com/floatdrop/timed-out"
"tlds@1.203.1","MIT","https://github.com/stephenmathieson/node-tlds"
"trim-newlines@2.0.0","MIT","https://github.com/sindresorhus/trim-newlines"
"unique-string@1.0.0","MIT","https://github.com/sindresorhus/unique-string"
"unzip-response@2.0.1","MIT","https://github.com/sindresorhus/unzip-response"
"update-notifier@2.5.0","BSD-2-Clause","https://github.com/yeoman/update-notifier"
"url-parse-lax@1.0.0","MIT","https://github.com/sindresorhus/url-parse-lax"
"url-parse@1.4.7","MIT","https://github.com/unshiftio/url-parse"
"url-regex@5.0.0","MIT","https://github.com/kevva/url-regex"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"which@1.3.1","ISC","https://github.com/isaacs/node-which"
"widest-line@2.0.1","MIT","https://github.com/sindresorhus/widest-line"
"write-file-atomic@2.4.2","ISC","https://github.com/iarna/write-file-atomic"
"xdg-basedir@3.0.0","MIT","https://github.com/sindresorhus/xdg-basedir"
"yallist@2.1.2","ISC","https://github.com/isaacs/yallist"
"yargs-parser@10.1.0","ISC","https://github.com/yargs/yargs-parser"
